UF,REGIAO,Município,Total Leitos,População,Razão Leitos/Mil,Leitos Ideais,Déficit Leitos,Percentual Cobertura,Nível Alerta,Cor Alerta
SP,METROPOLITANA,São Paulo,379326,23809922,62.769021896732625,23809.922,-355516.078,6043.2039330494235,VERDE (NORMAL),VERDE
SP,CAMPINAS,Campinas,36874,1187974,32.21711775234583,1187.974,-35686.026,1144.5468301494814,VERDE (NORMAL),VERDE
SP,ARACATUBA,São José do Rio Preto,29572,504166,17.04876234275666,504.166,-29067.834,1734.5540635425634,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Ribeirão Preto,28751,731639,25.447427915550765,731.639,-28019.361,1129.8194888462751,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Guarulhos,25745,1349100,52.402408234608664,1349.1,-24395.9,491.29421466162626,VERDE (NORMAL),VERDE
SP,SOROCABA,Sorocaba,22715,762172,33.55368699097512,762.172,-21952.828,676.9747839070446,VERDE (NORMAL),VERDE
SP,METROPOLITANA,São Bernardo do Campo,20417,841154,41.19870695988637,841.154,-19575.846,495.57380574781786,VERDE (NORMAL),VERDE
SP,VALE DO PARAIBA,São José dos Campos,20131,727078,36.11733147881377,727.078,-19403.922,557.3778342901312,VERDE (NORMAL),VERDE
SP,Litoral,Santos,19726,429547,21.775676771773295,429.547,-19296.453,905.8731081814096,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Santo André,17952,782048,43.563279857397504,782.048,-17169.952,412.09018372273823,VERDE (NORMAL),VERDE
SP,BAURU,Bauru,14743,392947,26.653123516244996,392.947,-14350.053,553.1434239223101,VERDE (NORMAL),VERDE
SP,BAURU,Presidente Prudente,13974,234706,16.79590668384142,234.706,-13739.294,831.9884280759759,VERDE (NORMAL),VERDE
SP,BAURU,Marília,12555,247348,19.70115491835922,247.348,-12307.652,637.2722843928393,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Osasco,12564,759524,60.45240369309137,759.524,-11804.476,207.83292693845092,VERDE (NORMAL),VERDE
SP,CAMPINAS,Jundiaí,12216,463039,37.90430582842174,463.039,-11752.961,322.2852848248204,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Mogi das Cruzes,12044,470302,39.04865493191631,470.302,-11573.698,308.43572002670624,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Jaú,10866,137409,12.645775814467145,137.409,-10728.591,859.2592624937231,VERDE (NORMAL),VERDE
SP,METROPOLITANA,São Caetano do Sul,10268,172693,16.818562524347488,172.693,-10095.307,610.5159097357739,VERDE (NORMAL),VERDE
SP,SOROCABA,Botucatu,10110,151053,14.940949554896143,151.053,-9958.947,676.6638199837143,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Piracicaba,10296,440835,42.81614219114219,440.835,-9855.165,240.47005342134813,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Barueri,9898,333737,33.71761972115579,333.737,-9564.263,293.5557160278902,VERDE (NORMAL),VERDE
SP,CAMPINAS,Itapira,8483,74038,8.727808558293058,74.038,-8408.962,971.9507415111158,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Franca,7988,365494,45.75538307461192,365.494,-7622.506,174.58055125391934,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Barretos,7734,126957,16.41543832428239,126.957,-7607.043,471.14185117795785,VERDE (NORMAL),VERDE
SP,ARACATUBA,Catanduva,7254,119275,16.442652329749105,119.275,-7134.725,441.16970027247953,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Diadema,7494,403579,53.85361622631439,403.579,-7090.421,139.15500063184655,VERDE (NORMAL),VERDE
SP,VALE DO PARAIBA,Taubaté,6774,322397,47.59329790374963,322.397,-6451.603,142.3309646181571,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Taboão da Serra,6400,285307,44.57921875,285.307,-6114.693,143.56465141058578,VERDE (NORMAL),VERDE
SP,SOROCABA,Itu,6234,175047,28.079403272377284,175.047,-6058.953,222.0132650088262,VERDE (NORMAL),VERDE
SP,CAMPINAS,Espírito Santo do Pinhal,6088,40610,6.6704993429697765,40.61,-6047.39,912.67530164984,VERDE (NORMAL),VERDE
SP,ARACATUBA,Araçatuba,6078,208415,34.290062520565975,208.415,-5869.585,177.25252021207686,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Itapecerica da Serra,5916,163003,27.55290736984449,163.003,-5752.997,214.7141831745428,VERDE (NORMAL),VERDE
SP,Litoral,Guarujá,5982,294871,49.2930458040789,294.871,-5687.129,121.35586069840711,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Araraquara,5740,253474,44.159233449477355,253.474,-5486.526,129.98414038520716,VERDE (NORMAL),VERDE
SP,ARARAQUARA,São Carlos,5670,266427,46.98888888888889,266.427,-5403.573,120.66682430834713,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Mauá,5694,429014,75.34492448191078,429.014,-5264.986,75.57244285734265,VERDE (NORMAL),VERDE
SP,CAMPINAS,Limeira,5562,301292,54.16972312117943,301.292,-5260.708,102.6772831671601,VERDE (NORMAL),VERDE
SP,Litoral,Caraguatatuba,5065,142248,28.084501480750248,142.248,-4922.752,180.34858135088015,VERDE (NORMAL),VERDE
SP,Litoral,Praia Grande,5238,368539,70.35872470408553,368.539,-4869.461,74.44705716355664,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Rio Claro,5013,210323,41.95551565928586,210.323,-4802.677,119.48369412760373,VERDE (NORMAL),VERDE
SP,CAMPINAS,Indaiatuba,5064,269657,53.24980252764613,269.657,-4794.343,95.0989442143167,VERDE (NORMAL),VERDE
SP,VALE DO PARAIBA,Jacareí,5015,250952,50.04027916251246,250.952,-4764.048,100.2192650387325,VERDE (NORMAL),VERDE
SP,BAURU,Tupã,4704,65433,13.910076530612244,65.433,-4638.567,338.1721149878502,VERDE (NORMAL),VERDE
SP,VALE DO PARAIBA,Guaratinguetá,4704,121916,25.917517006802722,121.916,-4582.084,181.49886807309952,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Itapevi,4751,242995,51.14607451062934,242.995,-4508.005,92.89080433753782,VERDE (NORMAL),VERDE
SP,CAMPINAS,Americana,4614,247571,53.656480277416556,247.571,-4366.429,85.99147719240138,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Cotia,4625,289493,62.59308108108108,289.493,-4335.507,73.88995588839799,VERDE (NORMAL),VERDE
SP,CAMPINAS,Bragança Paulista,4430,185688,41.91602708803612,185.688,-4244.312,105.68749730731119,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Araras,4288,135744,31.65671641791045,135.744,-4152.256,135.45308816595946,VERDE (NORMAL),VERDE
SP,VALE DO PARAIBA,Pindamonhangaba,4232,172681,40.803638941398866,172.681,-4059.319,103.71623977160198,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Suzano,4376,320261,73.18578610603291,320.261,-4055.739,59.79303130883873,VERDE (NORMAL),VERDE
SP,BAURU,Lins,4078,76844,18.84355076017656,76.844,-4001.156,216.413565144969,VERDE (NORMAL),VERDE
SP,CAMPINAS,Amparo,3855,69792,18.104280155642023,69.792,-3785.208,212.93307255845943,VERDE (NORMAL),VERDE
SP,CAMPINAS,Mogi Guaçu,3936,160318,40.73119918699187,160.318,-3775.682,96.63354083758529,VERDE (NORMAL),VERDE
SP,BAURU,Assis,3774,104858,27.784313725490197,104.858,-3669.142,135.83203952011291,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Carapicuíba,3928,398236,101.38391038696538,398.236,-3529.764,38.74382024729055,VERDE (NORMAL),VERDE
SP,SOROCABA,Registro,3530,61927,17.543059490084985,61.927,-3468.073,201.21917741857348,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Itaquaquecetuba,3744,382983,102.29246794871794,382.983,-3361.017,36.600935289555935,VERDE (NORMAL),VERDE
SP,CAMPINAS,Sumaré,3604,291116,80.77580466148724,291.116,-3312.884,44.617320930488184,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Franco da Rocha,3366,150241,44.634878193701724,150.241,-3215.759,75.41187824894669,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Ferraz de Vasconcelos,3318,186479,56.202230259192284,186.479,-3131.521,59.03680307165954,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Santa Rita do Passa Quatro,3130,24996,7.9859424920127795,24.996,-3105.004,391.938710193631,VERDE (NORMAL),VERDE
SP,BAURU,Garça,3096,43081,13.915051679586563,43.081,-3052.919,222.4928854947657,VERDE (NORMAL),VERDE
SP,Litoral,São Vicente,3264,338326,103.65379901960785,338.326,-2925.674,31.48943917996252,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Casa Branca,2880,28779,9.992708333333333,28.779,-2851.221,288.21015323673515,VERDE (NORMAL),VERDE
SP,SOROCABA,Itapetininga,2886,164256,56.91476091476091,164.256,-2721.744,50.70740794856809,VERDE (NORMAL),VERDE
SP,BAURU,Ourinhos,2814,106911,37.992537313432834,106.911,-2707.089,74.06717737183266,VERDE (NORMAL),VERDE
SP,ARACATUBA,Votuporanga,2794,100568,35.99427344309234,100.568,-2693.432,77.62345875427572,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Francisco Morato,2796,171476,61.329041487839774,171.476,-2624.524,45.590146726072454,VERDE (NORMAL),VERDE
SP,VALE DO PARAIBA,Caçapava,2650,100071,37.76264150943396,100.071,-2549.929,70.17517562530604,VERDE (NORMAL),VERDE
SP,ARACATUBA,Jaci,2532,7944,3.137440758293839,7.944,-2524.056,807.0271903323262,VERDE (NORMAL),VERDE
SP,BAURU,Pariquera-Açu,2424,19603,8.087046204620462,19.603,-2404.397,299.73861143702493,VERDE (NORMAL),VERDE
SP,Litoral,Itanhaém,2478,118495,47.818805488297016,118.495,-2359.505,51.82061690366682,VERDE (NORMAL),VERDE
SP,CAMPINAS,Paulínia,2466,116674,47.31305758313058,116.674,-2349.326,52.12091811371856,VERDE (NORMAL),VERDE
SP,SOROCABA,Avaré,2436,96450,39.5935960591133,96.45,-2339.55,61.52510108864696,VERDE (NORMAL),VERDE
SP,VALE DO PARAIBA,Campos do Jordão,2376,47956,20.183501683501685,47.956,-2328.044,117.71990991742429,VERDE (NORMAL),VERDE
SP,VALE DO PARAIBA,Lorena,2400,87468,36.445,87.468,-2312.532,65.852654685142,VERDE (NORMAL),VERDE
SP,CAMPINAS,Atibaia,2478,167161,67.45803066989508,167.161,-2310.839,36.73395110103433,VERDE (NORMAL),VERDE
SP,CAMPINAS,Mogi Mirim,2332,95742,41.0557461406518,95.742,-2236.258,56.80081886737273,VERDE (NORMAL),VERDE
SP,CAMPINAS,Valinhos,2358,132258,56.089058524173026,132.258,-2225.742,42.04028489769995,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Divinolândia,2232,11305,5.064964157706093,11.305,-2220.695,440.67439186200795,VERDE (NORMAL),VERDE
SP,BAURU,Pirajuí,2215,22734,10.263656884875846,22.734,-2192.266,215.81002023401072,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Matão,2264,81075,35.810512367491164,81.075,-2182.925,63.22165895775517,VERDE (NORMAL),VERDE
SP,CAMPINAS,São João da Boa Vista,2262,96080,42.47568523430592,96.08,-2165.92,53.25399666944214,VERDE (NORMAL),VERDE
SP,BAURU,Adamantina,2178,35673,16.37878787878788,35.673,-2142.327,132.9768732654949,VERDE (NORMAL),VERDE
SP,ARACATUBA,Jales,2136,50078,23.444756554307116,50.078,-2085.922,91.10779184472223,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Bebedouro,2160,78257,36.23009259259259,78.257,-2081.743,59.61894782575361,VERDE (NORMAL),VERDE
SP,SOROCABA,Itapeva,2136,92393,43.25514981273408,92.393,-2043.607,49.381403353067874,VERDE (NORMAL),VERDE
SP,SOROCABA,São Roque,2094,81366,38.8567335243553,81.366,-2012.634,53.890273578644646,VERDE (NORMAL),VERDE
SP,VALE DO PARAIBA,Cruzeiro,2020,76444,37.84356435643564,76.444,-1943.556,53.37763591648789,VERDE (NORMAL),VERDE
SP,BAURU,Dracena,1986,46735,23.532225579053375,46.735,-1939.265,84.39490745693806,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Américo Brasiliense,1848,33708,18.24025974025974,33.708,-1814.292,101.31434674261303,VERDE (NORMAL),VERDE
SP,Litoral,Cubatão,1920,114870,59.828125,114.87,-1805.13,32.09193000783495,VERDE (NORMAL),VERDE
SP,ARACATUBA,Penápolis,1852,63426,34.24730021598272,63.426,-1788.574,54.07725538422729,VERDE (NORMAL),VERDE
SP,CAMPINAS,Santa Bárbara d'Oeste,1962,189456,96.56269113149847,189.456,-1772.544,20.318406384595896,VERDE (NORMAL),VERDE
SP,SOROCABA,Tatuí,1836,129130,70.3322440087146,129.13,-1706.87,26.104669712692637,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Jaboticabal,1743,73473,42.15318416523236,73.473,-1669.527,41.349189498183,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Mococa,1698,69372,40.85512367491166,69.372,-1628.628,41.56149455111572,VERDE (NORMAL),VERDE
SP,CAMPINAS,Itatiba,1664,127112,76.38942307692308,127.112,-1536.888,21.783120397759454,VERDE (NORMAL),VERDE
SP,CAMPINAS,Jaguariúna,1584,62309,39.336489898989896,62.309,-1521.691,40.267954870082974,VERDE (NORMAL),VERDE
SP,ARACATUBA,Birigui,1644,123340,75.02433090024331,123.34,-1520.66,21.912891195070536,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Caieiras,1614,98549,61.058859975216855,98.549,-1515.451,26.433510233487908,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Batatais,1574,59939,38.08068614993647,59.939,-1514.061,41.33328884365772,VERDE (NORMAL),VERDE
SP,SOROCABA,Ibiúna,1584,77801,49.11679292929293,77.801,-1506.199,32.24966260073778,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Sertãozinho,1634,132176,80.89106487148103,132.176,-1501.824,20.20000605253601,VERDE (NORMAL),VERDE
SP,CAMPINAS,Salto,1616,141111,87.32116336633663,141.111,-1474.8890000000001,18.5063956743273,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,São José do Rio Pardo,1524,53427,35.05708661417323,53.427,-1470.573,43.47195238362625,VERDE (NORMAL),VERDE
SP,ARACATUBA,Fernandópolis,1514,73508,48.55217965653897,73.508,-1440.492,31.18294607389672,VERDE (NORMAL),VERDE
SP,CAMPINAS,Leme,1536,101537,66.10481770833333,101.537,-1434.463,23.23582536415297,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Taquaritinga,1476,53264,36.08672086720867,53.264,-1422.736,40.90147191348754,VERDE (NORMAL),VERDE
SP,BAURU,Santa Cruz do Rio Pardo,1470,47759,32.489115646258504,47.759,-1422.241,45.24592223455265,VERDE (NORMAL),VERDE
SP,BAURU,Paraguaçu Paulista,1446,42049,29.079529737206087,42.049,-1403.951,49.72570096791838,VERDE (NORMAL),VERDE
SP,Litoral,São Sebastião,1460,84280,57.726027397260275,84.28,-1375.72,25.29188419553868,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Ituverava,1317,38413,29.167046317388003,38.413,-1278.587,45.153697966834144,VERDE (NORMAL),VERDE
SP,BAURU,Rancharia,1296,29387,22.675154320987655,29.387,-1266.613,57.15506856773403,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Monte Alto,1302,48758,37.44854070660522,48.758,-1253.242,34.767709914270476,VERDE (NORMAL),VERDE
SP,CAMPINAS,Capivari,1302,51369,39.453917050691246,51.369,-1250.631,33.00052560883023,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,Serrana,1284,45580,35.49844236760124,45.58,-1238.42,36.170601140851254,VERDE (NORMAL),VERDE
SP,CAMPINAS,Hortolândia,1476,248842,168.59214092140923,248.842,-1227.158,8.754856495286164,VERDE (NORMAL),VERDE
SP,RIBEIRAO PRETO,São Joaquim da Barra,1272,49885,39.21776729559748,49.885,-1222.115,32.43427884133507,VERDE (NORMAL),VERDE
SP,ARACATUBA,Mirandópolis,1240,28754,23.188709677419354,28.754,-1211.246,53.47429922793351,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Pirassununga,1276,75594,59.24294670846395,75.594,-1200.406,21.538428975844646,VERDE (NORMAL),VERDE
SP,BAURU,Presidente Venceslau,1224,35810,29.25653594771242,35.81,-1188.19,41.83680536163083,VERDE (NORMAL),VERDE
SP,SOROCABA,Votorantim,1314,133510,101.60578386605783,133.51,-1180.49,12.932334656580032,VERDE (NORMAL),VERDE
SP,ARACATUBA,Mirassol,1236,65811,53.24514563106796,65.811,-1170.189,23.213383780826913,VERDE (NORMAL),VERDE
SP,ARARAQUARA,Ibitinga,1194,62143,52.04606365159129,62.143,-1131.857,22.941216227089132,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Embu das Artes,1368,259788,189.90350877192984,259.788,-1108.212,7.203658367592036,VERDE (NORMAL),VERDE
SP,ARACATUBA,Andradina,1155,61625,53.35497835497836,61.625,-1093.375,21.647464503042595,VERDE (NORMAL),VERDE
SP,ARACATUBA,Ilha Solteira,1056,26257,24.864583333333332,26.257,-1029.743,42.47004608294931,VERDE (NORMAL),VERDE
SP,VALE DO PARAIBA,Aparecida,1062,33141,31.206214689265536,33.141,-1028.859,34.03168280981262,VERDE (NORMAL),VERDE
SP,ARACATUBA,Santa Fé do Sul,1062,36288,34.16949152542373,36.288,-1025.712,31.080357142857142,VERDE (NORMAL),VERDE
SP,CAMPINAS,Vinhedo,1086,79089,72.82596685082873,79.089,-1006.9110000000001,14.912263399461365,VERDE (NORMAL),VERDE
SP,ARARAQUARA,São Pedro,1046,39855,38.102294455066925,39.855,-1006.145,27.452415004390915,VERDE (NORMAL),VERDE
SP,METROPOLITANA,Ribeirão Pires,1122,118954,106.01960784313725,118.954,-1003.046,10.582948030331053,VERDE (NORMAL),VERDE
